island,site,species,plantdt,trt,numplant,checkdt,alive,dead,propalive,deer abundance,pig abundance
guam,ann,aglaia,11-Nov-10,ungulate,14,30-Jun-11,12,2,0.857142857,low,high
guam,ann,morinda,17-Jun-10,ungulate,14,30-Jun-11,10,4,0.714285714,low,high
guam,ann,neiso,8-May-10,ungulate,7,30-Jun-11,7,0,1,low,high
guam,ann,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0,low,high
guam,ann,psychotria,10-Mar-11,ungulate,14,30-Jun-11,8,6,0.571428571,low,high
guam,ann,aglaia,11-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286,low,high
guam,ann,morinda,17-Jun-10,fenced,14,30-Jun-11,12,2,0.857142857,low,high
guam,ann,neiso,8-May-10,fenced,7,30-Jun-11,7,0,1,low,high
guam,ann,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0,low,high
guam,ann,psychotria,10-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857,low,high
guam,ann,carica,10-Apr,ungulate,14,10-Oct,13,1,0.928571429,low,high
guam,ann,carica,10-Apr,fenced,14,10-Oct,13,1,0.928571429,low,high
guam,ans,aglaia,10-Nov-10,ungulate,14,30-Jun-11,4,10,0.285714286,low,low
guam,ans,morinda,17-Jun-10,ungulate,14,30-Jun-11,11,3,0.785714286,low,low
guam,ans,neiso,11-May-10,ungulate,7,30-Jun-11,4,3,0.571428571,low,low
guam,ans,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0,low,low
guam,ans,psychotria,10-Mar-11,ungulate,14,30-Jun-11,4,10,0.285714286,low,low
guam,ans,aglaia,10-Nov-10,fenced,14,30-Jun-11,9,5,0.642857143,low,low
guam,ans,morinda,17-Jun-10,fenced,14,30-Jun-11,8,6,0.571428571,low,low
guam,ans,neiso,11-May-10,fenced,7,30-Jun-11,3,4,0.428571429,low,low
guam,ans,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0,low,low
guam,ans,psychotria,10-Mar-11,fenced,14,30-Jun-11,6,8,0.428571429,low,low
guam,ans,carica,10-Apr,ungulate,14,10-Oct,0,14,0,low,low
guam,ans,carica,10-Apr,fenced,14,10-Oct,4,10,0.285714286,low,low
guam,nblas,aglaia,12-Nov-10,ungulate,14,30-Jun-11,9,5,0.642857143,low,low
guam,nblas,morinda,17-Jun-10,ungulate,14,30-Jun-11,13,1,0.928571429,low,low
guam,nblas,neiso,12-May-10,ungulate,7,30-Jun-11,7,0,1,low,low
guam,nblas,premna,7-Dec-10,ungulate,14,30-Jun-11,2,12,0.142857143,low,low
guam,nblas,psychotria,9-Mar-11,ungulate,14,30-Jun-11,5,9,0.357142857,low,low
guam,nblas,aglaia,12-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286,low,low
guam,nblas,morinda,17-Jun-10,fenced,14,30-Jun-11,13,1,0.928571429,low,low
guam,nblas,neiso,12-May-10,fenced,7,30-Jun-11,7,0,1,low,low
guam,nblas,premna,7-Dec-10,fenced,14,30-Jun-11,8,6,0.571428571,low,low
guam,nblas,psychotria,9-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857,low,low
guam,nblas,carica,10-Apr,ungulate,14,10-Oct,0,14,0,low,low
guam,nblas,carica,10-Apr,fenced,14,10-Oct,1,13,0.071428571,low,low
guam,race,aglaia,12-Nov-10,ungulate,14,1-Jul-11,14,0,1,high,high
guam,race,morinda,24-Jun-10,ungulate,14,1-Jul-11,11,3,0.785714286,high,high
guam,race,neiso,11-May-10,ungulate,7,1-Jul-11,7,0,1,high,high
guam,race,premna,7-Dec-10,ungulate,14,1-Jul-11,8,6,0.571428571,high,high
guam,race,psychotria,9-Mar-11,ungulate,14,1-Jul-11,11,3,0.785714286,high,high
guam,race,aglaia,12-Nov-10,fenced,14,1-Jul-11,13,1,0.928571429,high,high
guam,race,morinda,24-Jun-10,fenced,14,1-Jul-11,14,0,1,high,high
guam,race,neiso,11-May-10,fenced,7,1-Jul-11,7,0,1,high,high
guam,race,premna,7-Dec-10,fenced,14,1-Jul-11,7,7,0.5,high,high
guam,race,psychotria,9-Mar-11,fenced,14,1-Jul-11,14,0,1,high,high
guam,race,carica,10-Apr,ungulate,14,10-Oct,11,3,0.785714286,high,high
guam,race,carica,10-Apr,fenced,14,10-Oct,4,10,0.285714286,high,high
guam,racefr,aglaia,11-Nov-10,ungulate,14,1-Jul-11,7,7,0.5,low,low
guam,racefr,morinda,24-Jun-10,ungulate,14,1-Jul-11,11,3,0.785714286,low,low
guam,racefr,neiso,12-May-10,ungulate,7,1-Jul-11,7,0,1,low,low
guam,racefr,premna,7-Dec-10,ungulate,14,1-Jul-11,0,14,0,low,low
guam,racefr,psychotria,11-Mar-11,ungulate,14,1-Jul-11,4,10,0.285714286,low,low
guam,racefr,aglaia,11-Nov-10,fenced,14,1-Jul-11,6,8,0.428571429,low,low
guam,racefr,morinda,24-Jun-10,fenced,14,1-Jul-11,6,8,0.428571429,low,low
guam,racefr,neiso,12-May-10,fenced,7,1-Jul-11,6,1,0.857142857,low,low
guam,racefr,premna,7-Dec-10,fenced,14,1-Jul-11,0,14,0,low,low
guam,racefr,psychotria,11-Mar-11,fenced,14,1-Jul-11,5,9,0.357142857,low,low
guam,racefr,carica,10-Apr,ungulate,14,10-Oct,10,4,0.714285714,low,low
guam,racefr,carica,10-Apr,fenced,14,10-Oct,14,0,1,low,low
guam,ritdgate,aglaia,8-Dec-10,ungulate,14,1-Jul-11,9,5,0.642857143,high,high
guam,ritdgate,morinda,13-Nov-10,ungulate,14,1-Jul-11,5,9,0.357142857,high,high
